,,,,peso corporeo,,,,tasso metabolico basale,,
,peso_corporeo_g,tasso_metabolico_basale_W,,MIN,MAX,MEDIA,,MIN,MAX,MEDIA
161,240,1.272,,,,,,,,
162,607,2.19,,,,,,,,
163,237,0.8,,,,,,,,
164,240,0.629,,,,,,,,
165,650,2.901,,,,,,,,
166,274,0.734,,,,,,,,
167,252.2,0.9,,,,,,,,
168,174,0.514,,,,,,,,
169,167,0.522,,,,,,,,
170,229,0.587,,,,,,,,
171,205.4,0.783,,,,,,,,
172,680,3.721,,,,,,,,
173,39,0.322,,,,,,,,
174,57.1,0.537,,,,,,,,
175,75,0.44,,,,,,,,
176,45.8,0.406,,,,,,,,
177,69.4,0.631,,,,,,,,
178,87.4,0.502,,,,,,,,
179,228.3,1.42,,,,,,,,
180,542,1.82,,,,,,,,
181,602,1.897,,,,,,,,
182,200,0.881,,,,,,,,
183,38.43,0.225,,,,,,,,
184,67.8,0.37,,,,,,,,
185,23.5,0.351,,,,,,,,
186,29.1,0.192,,,,,,,,
187,22,0.119,,,,,,,,
188,19.6,0.15,,,,,,,,
189,15.1,0.103,,,,,,,,
190,39.5,0.276,,,,,,,,
191,15.9,0.106,,,,,,,,
192,16,0.125,,,,,,,,
193,60.6,0.355,,,,,,,,
194,106,0.514,,,,,,,,
195,63.3,0.408,,,,,,,,
196,36.5,0.237,,,,,,,,
197,57.2,0.373,,,,,,,,
198,37.8,0.257,,,,,,,,
199,46.8,0.358,,,,,,,,
200,64.2,0.414,,,,,,,,
201,69.3,0.561,,,,,,,,
202,75.8,0.553,,,,,,,,
203,48.1,0.301,,,,,,,,
204,43.8,0.262,,,,,,,,
205,11,0.168,,,,,,,,
206,15.2,0.11,,,,,,,,
207,8.3,0.097,,,,,,,,
208,8.9,0.053,,,,,,,,
209,19.2,0.16,,,,,,,,
210,197,0.769,,,,,,,,
211,173,0.743,,,,,,,,
212,143,0.67,,,,,,,,
213,106.8,0.792,,,,,,,,
214,85,0.403,,,,,,,,
215,160,0.676,,,,,,,,
216,75,0.515,,,,,,,,
217,139,0.775,,,,,,,,
218,22,0.221,,,,,,,,
219,10,0.179,,,,,,,,
220,23.8,0.199,,,,,,,,
221,344,0.96,,,,,,,,
222,128,0.614,,,,,,,,
223,201,0.83,,,,,,,,
224,37.54,0.105,,,,,,,,
225,87,0.422,,,,,,,,
226,1870,6.364,,,,,,,,
227,21.7,0.115,,,,,,,,
228,93.78,0.707,,,,,,,,
229,20.41,0.115,,,,,,,,
230,61.3,0.287,,,,,,,,
231,84.2,0.544,,,,,,,,
232,34.6,0.361,,,,,,,,
233,24,0.254,,,,,,,,
234,42.3,0.321,,,,,,,,
235,27,0.276,,,,,,,,
236,31,0.259,,,,,,,,
237,24,0.228,,,,,,,,
238,21.8,0.329,,,,,,,,
239,92,0.595,,,,,,,,
240,76.8,0.617,,,,,,,,
241,7.15,0.095,,,,,,,,
242,50.1,0.395,,,,,,,,
243,16,0.161,,,,,,,,
244,16.9,0.154,,,,,,,,
245,50.1,0.403,,,,,,,,
246,62,0.454,,,,,,,,
247,32.8,0.452,,,,,,,,
248,30.7,0.245,,,,,,,,
249,362,1.293,,,,,,,,
250,59.62,0.551,,,,,,,,
251,17.5,0.167,,,,,,,,
252,65.4,0.471,,,,,,,,
